iter	Passed	Remaining
0	184	184192
1	209	104328
2	234	77850
3	253	63145
4	273	54516
5	293	48644
6	311	44198
7	329	40816
8	347	38305
9	364	36063
10	380	34216
11	400	33008
12	423	32154
13	444	31332
14	461	30310
15	477	29348
16	492	28476
17	509	27795
18	525	27117
19	543	26647
20	565	26361
21	586	26059
22	608	25845
23	630	25652
24	653	25504
25	670	25135
26	690	24897
27	707	24552
28	725	24279
29	743	24032
30	763	23873
31	780	23616
32	796	23351
33	815	23162
34	829	22861
35	846	22672
36	866	22561
37	883	22371
38	900	22196
39	917	22022
40	933	21842
41	949	21654
42	969	21566
43	985	21408
44	1002	21271
45	1023	21233
46	1043	21153
47	1068	21190
48	1084	21040
49	1099	20888
50	1115	20750
51	1129	20593
52	1146	20492
53	1160	20331
54	1176	20215
55	1193	20118
56	1207	19971
57	1224	19890
58	1238	19754
59	1262	19774
60	1279	19699
61	1295	19606
62	1308	19468
63	1323	19361
64	1337	19240
65	1351	19128
66	1367	19045
67	1382	18944
68	1396	18844
69	1411	18750
70	1425	18654
71	1437	18531
72	1452	18446
73	1468	18377
74	1485	18326
75	1502	18270
76	1517	18189
77	1531	18099
78	1543	17994
79	1557	17913
80	1571	17830
81	1587	17776
82	1604	17722
83	1616	17629
84	1634	17593
85	1648	17515
86	1664	17467
87	1680	17419
88	1704	17445
89	1717	17365
90	1733	17317
91	1750	17279
92	1763	17202
93	1780	17156
94	1793	17089
95	1809	17035
96	1823	16978
97	1837	16907
98	1848	16823
99	1864	16778
100	1879	16731
101	1896	16696
102	1913	16661
103	1928	16611
104	1941	16552
105	1955	16495
106	1970	16448
107	1986	16404
108	2000	16351
109	2012	16284
110	2027	16242
111	2044	16207
112	2057	16152
113	2070	16093
114	2085	16046
115	2101	16015
116	2120	16001
117	2136	15966
118	2150	15921
119	2162	15856
120	2175	15801
121	2189	15755
122	2203	15711
123	2218	15675
124	2232	15627
125	2247	15591
126	2262	15549
127	2274	15497
128	2287	15444
129	2300	15395
130	2317	15374
131	2333	15345
132	2348	15312
133	2362	15269
134	2376	15229
135	2390	15185
136	2403	15142
137	2420	15116
138	2434	15079
139	2449	15044
140	2462	15002
141	2479	14981
142	2493	14942
143	2508	14908
144	2521	14867
145	2538	14848
146	2554	14824
147	2577	14836
148	2591	14803
149	2609	14785
150	2627	14770
151	2642	14743
152	2658	14714
153	2672	14681
154	2687	14652
155	2701	14617
156	2714	14577
157	2733	14564
158	2752	14557
159	2766	14525
160	2780	14489
161	2794	14454
162	2809	14425
163	2824	14400
164	2841	14378
165	2857	14356
166	2871	14324
167	2885	14290
168	2898	14250
169	2911	14213
170	2924	14177
171	2940	14153
172	2955	14126
173	2974	14119
174	2988	14088
175	3002	14057
176	3016	14027
177	3031	14000
178	3045	13967
179	3058	13932
180	3071	13899
181	3085	13866
182	3098	13835
183	3112	13804
184	3124	13766
185	3142	13751
186	3165	13760
187	3183	13749
188	3199	13728
189	3215	13709
190	3231	13688
191	3248	13672
192	3266	13658
193	3280	13629
194	3295	13603
195	3309	13574
196	3321	13537
197	3334	13506
198	3349	13483
199	3366	13464
200	3381	13442
201	3394	13410
202	3409	13384
203	3422	13355
204	3436	13327
205	3449	13295
206	3462	13263
207	3475	13235
208	3491	13212
209	3505	13187
210	3520	13163
211	3532	13130
212	3545	13101
213	3560	13078
214	3578	13064
215	3592	13038
216	3603	13003
217	3618	12979
218	3631	12952
219	3643	12918
220	3656	12889
221	3674	12876
222	3688	12851
223	3702	12827
224	3716	12802
225	3731	12778
226	3744	12751
227	3758	12726
228	3775	12710
229	3792	12695
230	3806	12672
231	3821	12649
232	3834	12622
233	3847	12593
234	3861	12570
235	3874	12541
236	3887	12514
237	3901	12491
238	3914	12464
239	3927	12436
240	3940	12409
241	3954	12385
242	3967	12360
243	3984	12344
244	4002	12333
245	4016	12309
246	4031	12288
247	4044	12264
248	4057	12237
249	4074	12222
250	4089	12202
251	4106	12187
252	4120	12164
253	4132	12138
254	4148	12120
255	4162	12097
256	4175	12072
257	4189	12050
258	4207	12036
259	4221	12015
260	4234	11990
261	4248	11967
262	4264	11949
263	4277	11924
264	4291	11904
265	4306	11882
266	4318	11855
267	4332	11833
268	4345	11809
269	4359	11785
270	4372	11762
271	4386	11740
272	4399	11716
273	4416	11702
274	4430	11681
275	4443	11657
276	4461	11643
277	4475	11624
278	4488	11600
279	4504	11582
280	4518	11561
281	4531	11537
282	4546	11518
283	4559	11495
284	4572	11471
285	4585	11448
286	4599	11427
287	4616	11413
288	4634	11400
289	4648	11380
290	4662	11360
291	4676	11338
292	4689	11314
293	4702	11291
294	4716	11271
295	4731	11253
296	4746	11235
297	4761	11217
298	4775	11196
299	4787	11171
300	4803	11155
301	4819	11139
302	4842	11139
303	4883	11180
304	4899	11163
305	4915	11147
306	4931	11131
307	4947	11115
308	4963	11099
309	4979	11082
310	4994	11065
311	5010	11048
312	5026	11031
313	5042	11015
314	5060	11004
315	5079	10994
316	5096	10981
317	5114	10968
318	5132	10957
319	5151	10946
320	5167	10931
321	5184	10915
322	5201	10902
323	5217	10886
324	5233	10869
325	5248	10851
326	5269	10845
327	5289	10838
328	5305	10821
329	5320	10803
330	5336	10786
331	5352	10770
332	5369	10755
333	5385	10738
334	5402	10723
335	5418	10708
336	5434	10692
337	5450	10675
338	5467	10659
339	5482	10641
340	5499	10628
341	5517	10615
342	5533	10599
343	5548	10580
344	5578	10591
345	5634	10649
346	5668	10667
347	5692	10665
348	5712	10656
349	5733	10648
350	5749	10631
351	5767	10617
352	5784	10602
353	5800	10585
