iter	RMSE
0	0.9634152213
1	0.9329715074
2	0.9012880518
3	0.871808306
4	0.8468705737
5	0.8220490582
6	0.7979588102
7	0.7765471631
8	0.7553321063
9	0.7369304181
10	0.7187035447
11	0.7008428354
12	0.6837753268
13	0.669306587
14	0.6549451624
15	0.6418933712
16	0.6284494095
17	0.6173756991
18	0.6066508709
19	0.5973130045
20	0.5872544027
21	0.5784867245
22	0.5689084077
23	0.5613034353
24	0.5537620518
25	0.5465684415
26	0.5382198602
27	0.5317445853
28	0.5251199299
29	0.5187303923
30	0.5133786509
31	0.5079118598
32	0.5026723517
33	0.4984299512
34	0.4940148157
35	0.4898083577
36	0.4864461005
37	0.4822183109
38	0.4793108838
39	0.4750231394
40	0.4718904656
41	0.4671608476
42	0.4636093822
43	0.4603394958
44	0.4576294959
45	0.4538797281
46	0.4503255273
47	0.447371659
48	0.4448750722
49	0.4422625952
50	0.439843137
51	0.4378077363
52	0.4356975559
53	0.433630647
54	0.4317200026
55	0.429772574
56	0.4284187391
57	0.4268946021
58	0.4251203306
59	0.4233600758
60	0.4218375477
61	0.4209235614
62	0.4190769964
63	0.4176114655
64	0.4162792034
65	0.4149250193
66	0.4129057108
67	0.4118351587
68	0.4100155128
69	0.4086546467
70	0.4072764113
71	0.4061813801
72	0.4042436108
73	0.4034185146
74	0.402568739
75	0.4016038214
76	0.4007433231
77	0.3998527942
78	0.3990303123
79	0.3979545238
80	0.3974996233
81	0.3962500002
82	0.3952845731
83	0.3938834851
84	0.3932325163
85	0.392601087
86	0.3921530226
87	0.3914385222
88	0.3905820747
89	0.3898997958
90	0.3888554172
91	0.3879663427
92	0.3873334191
93	0.38636635
94	0.3856216343
95	0.3851401661
96	0.3845956858
97	0.383601792
98	0.3830921119
99	0.3824385263
100	0.3819491223
101	0.381557406
102	0.3810290659
103	0.3803516111
104	0.379500154
105	0.3786219436
106	0.378248158
107	0.3777271188
108	0.3771209381
109	0.3766986649
110	0.3762445001
111	0.3752293856
112	0.3748640026
113	0.3744578036
114	0.3740028141
115	0.373224577
116	0.3727047644
117	0.3722479862
118	0.3720174423
119	0.3716788773
120	0.3712422153
121	0.3708337593
122	0.3703641966
123	0.3699117925
124	0.3694222887
125	0.3688358219
126	0.3684160383
127	0.3676470457
128	0.3673525719
129	0.3664424924
130	0.3659390907
131	0.365629422
132	0.3652560676
133	0.3647683613
134	0.3642512963
135	0.3639143209
136	0.3633700084
137	0.363151599
138	0.3628948868
139	0.3622458474
140	0.361893363
141	0.3613478427
142	0.3609528179
143	0.3607229474
144	0.3603456872
145	0.3598121577
146	0.3590722635
147	0.358595898
148	0.3583957845
149	0.3582211076
150	0.3578803914
151	0.3576377451
152	0.3573175451
153	0.3570445371
154	0.3565463481
155	0.3562391683
156	0.3555628756
157	0.3551597092
158	0.3546130164
159	0.3543904164
160	0.3538534558
161	0.3534880903
162	0.3532844757
163	0.3528503697
164	0.3526380891
165	0.3522697383
166	0.3519974973
167	0.3516558846
168	0.3514256936
169	0.3511977568
170	0.3506197719
171	0.3503056175
172	0.3500607287
173	0.3496676734
174	0.3494542455
175	0.3490424878
176	0.3486678072
177	0.3482608782
178	0.3478265828
179	0.3474597599
180	0.3470702956
181	0.3467680923
182	0.346403092
183	0.3461883094
184	0.3460199231
185	0.3459655984
186	0.3456922137
187	0.3454321501
188	0.3452041618
189	0.3448513292
190	0.3444963952
191	0.3442295749
192	0.3438464425
193	0.3434289164
194	0.3431226893
195	0.3428195125
196	0.3426455542
197	0.342436487
198	0.3420630589
199	0.3418513961
200	0.3415180511
201	0.341327135
202	0.3410890829
203	0.3408967998
204	0.3407205312
205	0.3405927914
206	0.3402394805
207	0.3400160576
208	0.3398695114
209	0.3395486029
210	0.3392090118
211	0.3387392666
212	0.3383266996
213	0.3380320702
214	0.3376419349
215	0.3371500612
216	0.3368891812
217	0.3364379126
218	0.3362744762
219	0.3360527919
220	0.3357177882
221	0.3356220415
222	0.3355890449
223	0.3354433942
224	0.335027173
225	0.3348154662
226	0.3346146466
227	0.3343967132
228	0.3342227244
229	0.334038455
230	0.3337928155
231	0.3334319547
232	0.3331617451
233	0.3330142312
234	0.3327174238
235	0.3325078749
236	0.3323749642
237	0.3322574859
238	0.3320712648
239	0.3318489638
240	0.3315807353
241	0.331353716
242	0.331015666
243	0.3306240904
244	0.3303474706
245	0.3300412828
246	0.3295627952
247	0.3290404901
248	0.3286893876
249	0.3284773668
250	0.3281697839
251	0.3280714553
252	0.3277691782
253	0.3272598446
254	0.3268795973
255	0.3266087255
256	0.3264610171
257	0.3261551545
258	0.3259084971
259	0.3257083006
260	0.3254241619
261	0.3252702452
262	0.3250788607
263	0.3247871598
264	0.324474812
265	0.3242722921
266	0.3239720514
267	0.3237164247
268	0.3235326771
269	0.3232737757
270	0.3230557261
271	0.3228791667
272	0.322616278
273	0.3224318428
274	0.3222758856
275	0.322083998
276	0.321845037
277	0.3216861986
278	0.3214645117
279	0.3212509726
280	0.3209333737
281	0.3208074174
282	0.3206597385
283	0.3203598951
284	0.3201784598
285	0.3199753799
286	0.3198058099
287	0.3195236478
288	0.3193491648
289	0.3191309755
290	0.3189120969
291	0.3187410653
292	0.3186079825
293	0.3183905639
294	0.3180711211
295	0.3179243697
296	0.3176895293
297	0.3175966975
298	0.3173654283
299	0.3171913172
300	0.3170142728
301	0.3168646481
302	0.3165749979
303	0.3163279964
304	0.3161246215
305	0.3159061567
306	0.3157576208
307	0.3155688117
308	0.3153642056
309	0.3150966631
310	0.3149741837
311	0.3147829543
312	0.3146201224
313	0.3144059785
314	0.3143196196
315	0.3141031558
316	0.3139249597
317	0.3137046837
318	0.3134943979
319	0.3132698331
320	0.3131183441
321	0.3129528146
322	0.3127679884
323	0.312600618
324	0.3124990336
325	0.3123908789
326	0.3121113685
327	0.3120133489
328	0.3118476837
329	0.3116928727
330	0.3115318098
331	0.3114138566
332	0.3111315607
333	0.3110071546
334	0.3108607689
335	0.3106701063
336	0.3105246886
337	0.3102756516
338	0.3099973599
339	0.3097059193
340	0.3096111446
341	0.3093341346
342	0.3091884321
343	0.3090074109
344	0.3087804181
345	0.3085475341
346	0.3084358147
347	0.308262816
348	0.3080491253
349	0.3078710688
350	0.3076284305
351	0.3074707243
352	0.3072142337
