iter	RMSE
0	0.9953695385
1	0.9917032061
2	0.9885877935
3	0.9861083207
4	0.9840104416
5	0.9821774786
6	0.9806403085
7	0.9793664958
8	0.9783399516
9	0.9774556175
10	0.976793502
11	0.9762198251
12	0.9757015707
13	0.9752799637
14	0.9748954116
15	0.9745771467
16	0.9743392496
17	0.974128843
18	0.9739329063
19	0.9737683173
20	0.9736282541
21	0.973502607
22	0.9734043994
23	0.9733194981
24	0.9732468695
25	0.9731821375
26	0.9731184573
27	0.9730615709
28	0.9730087228
29	0.9729515242
30	0.9728949933
31	0.9728508067
32	0.9727978263
33	0.9727583059
34	0.9727184975
35	0.9726760528
36	0.9726372194
37	0.9725977275
38	0.9725675629
39	0.9725319824
40	0.972503153
41	0.9724618665
42	0.9724218594
43	0.972393857
44	0.9723579529
45	0.972312638
46	0.9722762541
47	0.9722400044
48	0.972207518
49	0.972180135
50	0.9721305725
51	0.9721117006
52	0.9720715857
53	0.9720440686
54	0.9720184875
55	0.9720046593
56	0.9719676341
57	0.97193737
58	0.9719019536
59	0.971871944
60	0.9718335275
61	0.9718000901
62	0.9717746
63	0.9717490405
64	0.9717169561
65	0.9716836254
66	0.9716532396
67	0.9716171995
68	0.9715875636
69	0.9715542812
70	0.9715302509
71	0.9714889249
72	0.9714567903
73	0.9714142718
74	0.9713860468
75	0.97136429
76	0.9713340885
77	0.9713008767
78	0.9712687472
79	0.971227428
80	0.971208047
81	0.971175658
82	0.971150029
83	0.9711101212
84	0.9710842171
85	0.9710468967
86	0.9710211072
87	0.9709819838
88	0.9709579398
89	0.9709400315
90	0.9709023958
91	0.9708680784
92	0.9708364058
93	0.9708129032
94	0.9707938702
95	0.9707521356
96	0.9707119892
97	0.970691872
98	0.9706502195
99	0.9706128027
100	0.9705819284
101	0.9705594246
102	0.9705304524
103	0.9705079484
104	0.9704773688
105	0.9704462236
106	0.9704172308
107	0.9703837688
108	0.9703608638
109	0.9703136541
110	0.970267399
111	0.9702434909
112	0.9702199054
113	0.9701950915
114	0.9701677253
115	0.9701430134
116	0.9701031534
117	0.9700747771
118	0.9700408033
119	0.9700007588
120	0.969968583
121	0.9699439044
122	0.969909307
123	0.9698822846
124	0.9698526396
125	0.9698053976
126	0.9697696805
127	0.9697286791
128	0.9696868041
129	0.9696567301
130	0.969620407
131	0.9695927762
132	0.9695450309
133	0.9695177571
134	0.9694760629
135	0.9694388307
136	0.9694026886
137	0.9693784602
138	0.9693512625
139	0.9693191251
140	0.9692921499
141	0.9692518695
142	0.9692171095
143	0.9691676888
144	0.9691340833
145	0.96910007
146	0.9690587298
147	0.969017217
148	0.9689720957
149	0.9689370872
150	0.9689006016
151	0.9688723749
152	0.9688428916
153	0.9687962891
154	0.9687563929
155	0.9687246139
156	0.9686979306
157	0.9686627079
158	0.9686247762
159	0.9685986733
160	0.9685599566
161	0.9685155294
162	0.968476133
163	0.9684367629
164	0.9684038461
165	0.9683666185
166	0.9683275597
167	0.9682835278
168	0.9682453553
169	0.9682089902
170	0.968172437
171	0.9681396056
172	0.9681093424
173	0.9680712644
174	0.9680371136
175	0.9679937386
176	0.9679620033
177	0.967931523
178	0.9679063002
179	0.967873922
180	0.9678402641
181	0.9678128163
182	0.9677731778
183	0.9677213976
184	0.9676907877
185	0.9676424649
186	0.9676081549
187	0.9675825024
188	0.967549062
189	0.9675040252
190	0.9674741958
191	0.9674410295
192	0.9674044774
193	0.9673597168
194	0.9673268646
195	0.9672911419
196	0.9672568527
197	0.9672239619
198	0.9671872068
199	0.9671516341
200	0.9671226364
201	0.9670932612
202	0.9670649985
203	0.9670373305
204	0.9669940638
205	0.9669616426
206	0.9669397279
207	0.9669028447
208	0.9668679588
209	0.9668406985
210	0.9668094533
211	0.9667798836
212	0.9667423792
213	0.9667024047
214	0.9666553373
215	0.9666045571
216	0.9665723858
217	0.9665303386
218	0.9664996276
219	0.9664681669
220	0.966428546
221	0.9663843755
222	0.9663470578
223	0.966314131
224	0.9662767864
225	0.9662512613
226	0.9662247756
227	0.9661893975
228	0.9661572807
229	0.9661142235
230	0.9660840269
231	0.9660510286
232	0.966021861
233	0.9659823548
234	0.9659521022
235	0.9659054045
236	0.9658725676
237	0.9658293915
238	0.9657912238
239	0.9657580156
240	0.9657073972
241	0.965673166
242	0.9656487113
243	0.9656220173
244	0.9655843552
245	0.9655497596
246	0.9655219636
247	0.9654824551
248	0.9654513625
249	0.9654041157
250	0.9653633541
251	0.9653313688
252	0.9652878122
253	0.9652556628
254	0.9652312679
255	0.9651985829
256	0.9651639811
257	0.9651294879
258	0.9650914694
259	0.9650600242
260	0.9650385322
261	0.9649983098
262	0.9649531912
263	0.9649269343
264	0.964891449
265	0.9648550843
266	0.9648091469
267	0.9647791349
268	0.9647476289
269	0.9647129737
270	0.9646769593
271	0.9646432984
272	0.9646149265
273	0.9645919626
274	0.9645539845
275	0.9645230748
276	0.9645012576
277	0.9644760462
278	0.9644445617
279	0.9644034355
280	0.9643636529
281	0.9643191106
282	0.9642916446
283	0.9642551698
284	0.9642254675
285	0.9641755173
286	0.964141212
287	0.9641021708
288	0.9640640569
289	0.9640405334
290	0.9640011893
291	0.9639805083
292	0.9639561573
293	0.9639303131
294	0.963899293
295	0.9638736878
296	0.963841073
297	0.9638031872
298	0.963769546
299	0.9637404818
300	0.9636998367
301	0.9636700753
302	0.9636341044
303	0.9635991439
304	0.963576362
305	0.9635386446
306	0.9635145653
307	0.9634756366
308	0.9634402481
309	0.9633940529
310	0.9633623784
311	0.9633289741
312	0.9633004865
313	0.9632780965
314	0.9632516551
315	0.9632208509
316	0.9631936031
317	0.9631595776
318	0.963133599
319	0.9631037963
320	0.9630746873
321	0.9630466729
322	0.9630172649
323	0.9629923896
324	0.9629548464
325	0.9629238428
326	0.96289923
327	0.9628543293
328	0.9628145814
329	0.9627878444
330	0.9627551849
331	0.9627182793
332	0.9626847729
333	0.9626535989
334	0.9626225618
335	0.9625925286
336	0.9625521608
337	0.9625222007
338	0.9624764987
339	0.9624419233
340	0.9624131438
341	0.962377654
342	0.962344183
343	0.9623148735
344	0.9622763014
345	0.962248636
346	0.9622003064
347	0.9621601227
348	0.9621133868
349	0.9620919213
350	0.962061416
351	0.9620343063
352	0.9619982561
353	0.961959777
354	0.9619394885
355	0.9619110675
356	0.9618817143
357	0.9618545294
358	0.9618303994
359	0.961788771
360	0.9617539984
361	0.9617211387
362	0.9616936507
363	0.9616515881
364	0.9616252623
365	0.9615930183
366	0.9615623272
367	0.961534224
368	0.9615028778
369	0.9614759106
370	0.9614429204
371	0.9614069357
372	0.9613775167
373	0.9613529459
374	0.9613224399
375	0.9612915493
376	0.9612630525
377	0.9612356517
378	0.961209615
379	0.9611712865
380	0.9611394912
381	0.961117913
382	0.9610722189
383	0.9610464072
384	0.9610159332
385	0.9609767249
386	0.96095213
387	0.9609256724
388	0.9608946981
389	0.9608623053
390	0.9608252456
391	0.9607892756
392	0.9607556299
393	0.9607256347
394	0.9606884086
395	0.9606592969
396	0.9606329379
397	0.9606035976
398	0.9605710866
399	0.9605326017
400	0.9605020049
401	0.9604761295
402	0.9604476939
403	0.9604092756
404	0.9603863442
405	0.9603577927
406	0.9603247434
407	0.9602936871
408	0.9602660833
409	0.9602371546
410	0.9602104766
411	0.9601746564
412	0.9601412687
413	0.9601112526
414	0.9600849757
415	0.9600640703
416	0.9600373852
417	0.9600099945
418	0.9599824119
419	0.9599519845
420	0.9599338171
421	0.9598985884
422	0.9598619816
423	0.959824851
424	0.9598070923
425	0.9597817338
426	0.9597497526
427	0.959725375
428	0.9596997989
429	0.9596730719
430	0.95964654
431	0.9596197151
432	0.9595917137
433	0.9595617795
434	0.9595485803
435	0.9595184701
436	0.9594933738
437	0.9594569136
438	0.959429734
439	0.9594024201
440	0.9593603217
441	0.9593290604
442	0.9592903761
443	0.9592638207
444	0.9592255753
445	0.9591992789
446	0.9591748405
447	0.9591482898
448	0.9591274893
449	0.9590973187
450	0.9590635097
451	0.959027322
452	0.9590046862
453	0.9589794558
454	0.9589462876
455	0.9589169905
456	0.9588806255
457	0.958848221
458	0.9588181353
459	0.9587787959
460	0.9587488078
461	0.9587190195
462	0.9587008354
463	0.9586752758
464	0.9586351498
465	0.9586061617
466	0.9585743922
467	0.9585465221
468	0.9585160722
469	0.9584938956
470	0.9584753706
471	0.958452414
472	0.9584212485
473	0.958385853
