iter	Passed	Remaining
0	171	171671
1	191	95374
2	224	74588
3	244	60837
4	266	52964
5	286	47387
6	304	43147
7	321	39829
8	340	37481
9	358	35530
10	376	33815
11	397	32731
12	429	32603
13	455	32110
14	479	31464
15	498	30633
16	523	30271
17	546	29835
18	577	29792
19	600	29410
20	631	29420
21	662	29443
22	685	29105
23	708	28828
24	728	28422
25	753	28212
26	776	27966
27	808	28064
28	832	27889
29	858	27771
30	883	27618
31	909	27525
32	932	27329
33	960	27283
34	980	27032
35	999	26770
36	1019	26532
37	1037	26272
38	1060	26134
39	1082	25984
40	1103	25802
41	1126	25690
42	1150	25609
43	1169	25404
44	1190	25269
45	1213	25159
46	1236	25071
47	1257	24933
48	1277	24788
49	1296	24630
50	1450	26988
51	1556	28373
52	1587	28368
53	1620	28381
54	1675	28785
55	1719	28985
56	1752	28985
57	1775	28836
58	1795	28634
59	1817	28479
60	1842	28364
61	1865	28216
62	1887	28071
63	1909	27928
64	1931	27782
65	1951	27619
66	1990	27713
67	2017	27657
68	2044	27583
69	2068	27477
70	2086	27305
71	2107	27168
72	2129	27043
73	2147	26876
74	2170	26765
75	2195	26695
76	2224	26670
77	2248	26575
78	2271	26480
79	2294	26386
80	2318	26310
81	2341	26218
82	2365	26136
83	2386	26024
84	2406	25905
85	2426	25789
86	2446	25677
87	2465	25547
88	2485	25437
89	2503	25313
90	2520	25176
91	2538	25055
92	2557	24941
93	2574	24816
94	2591	24689
95	2607	24557
96	2623	24427
97	2638	24289
98	2652	24144
99	2668	24018
100	2683	23884
101	2698	23753
102	2715	23647
103	2732	23544
104	2752	23457
105	2768	23348
106	2783	23231
107	2799	23119
108	2815	23013
109	2831	22908
110	2846	22794
111	2862	22699
112	2877	22585
113	2895	22500
114	2911	22408
115	2933	22352
116	2950	22265
117	2969	22197
118	2988	22125
119	3004	22035
120	3021	21949
121	3038	21867
122	3054	21780
123	3070	21692
124	3086	21603
125	3102	21521
126	3118	21434
127	3133	21348
128	3150	21272
129	3168	21204
130	3187	21145
131	3204	21074
132	3223	21010
133	3243	20961
134	3267	20938
135	3289	20897
136	3315	20882
137	3342	20876
138	3369	20873
139	3399	20884
140	3421	20843
141	3443	20803
142	3468	20784
143	3485	20716
144	3506	20675
145	3529	20645
146	3549	20595
147	3570	20557
148	3597	20545
149	3620	20514
150	3645	20497
151	3672	20488
152	3691	20436
153	3712	20394
154	3734	20359
155	3761	20349
156	3780	20300
157	3800	20255
158	3830	20261
159	3860	20267
160	3888	20262
161	3910	20228
162	3928	20174
163	3945	20112
164	3963	20055
165	3979	19991
166	3998	19946
167	4032	19972
168	4052	19927
169	4075	19900
170	4101	19882
171	4122	19843
172	4143	19806
173	4166	19778
174	4187	19743
175	4206	19694
176	4225	19648
177	4242	19593
178	4260	19542
179	4279	19493
180	4299	19452
181	4318	19407
182	4334	19353
183	4351	19297
184	4368	19243
185	4384	19187
186	4402	19140
187	4417	19078
188	4433	19023
189	4448	18965
190	4465	18912
191	4483	18868
192	4501	18823
193	4521	18786
194	4538	18735
195	4554	18684
196	4573	18640
197	4594	18609
198	4614	18571
199	4633	18535
200	4651	18491
201	4670	18449
202	4689	18411
203	4706	18366
204	4729	18342
205	4745	18292
206	4762	18244
207	4779	18198
208	4797	18155
209	4815	18113
210	4833	18072
211	4856	18052
212	4875	18013
213	4894	17975
214	4913	17939
215	4935	17914
216	4955	17879
217	4974	17843
218	4993	17806
219	5009	17760
220	5026	17716
221	5044	17678
222	5061	17635
223	5079	17595
224	5095	17551
