iter	RMSE
0	603.0060121
1	565.2747501
2	532.901469
3	504.0065156
4	478.3058088
5	453.9659451
6	434.3010435
7	416.4553379
8	401.2077863
9	387.4568436
10	376.9652145
11	366.4132631
12	356.1031632
13	347.5450179
14	337.9297183
15	329.0129382
16	322.4653702
17	316.8381715
18	311.6744586
19	306.899602
20	302.4291896
21	298.1738215
22	294.3365807
23	289.804163
24	286.9693985
25	283.9652882
26	281.839778
27	279.1916161
28	276.0073487
29	273.9058921
30	272.0492885
31	269.970653
32	267.7240646
33	266.3809226
34	265.0176366
35	263.5525472
36	262.3974294
37	260.4901239
38	258.3895112
39	256.6619746
40	255.9219133
41	254.8516731
42	254.1328343
43	253.1463437
44	252.3568972
45	251.4359895
46	250.7907127
47	250.069934
48	248.8946555
49	247.7924541
50	246.7900232
51	246.5376838
52	245.9491106
53	244.8665936
54	244.1384625
55	243.2220392
56	242.4499531
57	241.9439093
58	241.2459743
59	240.6394605
60	240.2533433
61	239.979553
62	239.4172679
63	238.8128541
64	238.0318132
65	237.5468219
66	236.8595654
67	236.1454849
68	235.8693676
69	235.3753093
70	235.0387348
71	234.8188736
72	234.2726215
73	233.9954696
74	233.5550721
75	233.2834704
76	233.0632271
77	232.4577313
78	231.8714454
79	231.5206673
80	230.9461501
81	230.5831284
82	230.3556911
83	230.1320579
84	229.7267779
85	229.334818
86	229.0872487
87	228.7677636
88	228.3318201
89	227.9549833
90	227.3081777
91	226.8234582
92	226.1694965
93	225.6757829
94	225.4099329
95	224.8916149
96	224.8072059
97	224.4284643
98	224.1072209
99	223.7841225
