iter	Passed	Remaining
0	143	14175
1	146	7181
2	149	4828
3	152	3654
4	155	2949
5	157	2473
6	160	2130
7	162	1871
8	164	1664
9	166	1498
10	168	1362
11	170	1248
12	172	1152
13	174	1069
14	176	999
15	178	938
16	180	881
17	182	831
18	184	785
19	186	745
20	188	708
21	190	674
22	192	643
23	193	614
24	196	589
25	198	565
26	200	542
27	203	524
28	206	504
29	208	485
30	209	467
31	211	450
32	213	433
33	215	419
34	217	404
35	220	391
36	222	379
37	224	366
38	226	354
39	228	342
40	230	331
41	232	321
42	235	312
43	237	302
44	239	292
45	241	283
46	243	274
47	245	265
48	247	257
49	249	249
50	250	241
51	253	234
52	256	227
53	258	219
54	259	212
55	261	205
56	263	198
57	265	192
58	267	185
59	269	179
60	271	173
61	273	167
62	275	162
63	277	156
64	279	150
65	281	145
66	283	139
67	285	134
68	287	129
69	289	123
70	291	119
71	293	114
72	295	109
73	297	104
74	299	99
75	301	95
76	303	90
77	305	86
78	307	81
79	309	77
80	311	73
81	313	68
82	315	64
83	317	60
84	319	56
85	321	52
86	323	48
87	325	44
88	327	40
89	329	36
90	331	32
91	333	29
92	335	25
93	337	21
94	339	17
95	341	14
96	343	10
97	345	7
98	347	3
99	349	0
